file_path,num_pages
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/04 - Abril/Abr_Port_1414_Comite de Iniciação Cientifica_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/04 - Abril/Abr_Port_1619_Alterar a Comissão do Desfazimento de Bens_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/04 - Abril/Abr_Port_1600_Projeto Institucional_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0019_Designação Banca Pedagogia.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0026_Designar a CEIC do PPC de Administração Integrado ao Ensino Médio_BTV.pdf,3
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0018_Designação Banca Gestão.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0023_Alterar Equipe de Formação Continuada.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0025_Comissão de Acompanhamento e Fiscalização do Acordo de Cooperação - Alimentação Escolar_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0024_Designar CAED 23431.001078.2022-91.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0022_Revoga e Designa membros do NDE de Licenciatura em Pedagogia_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0016_ Designa CAAD Gestão_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0017_Fiscal de contrato de Almoxarifado Virtual.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0021_Revogar e Designar a CEIC do PPC do Curso Técnico em Secretaria Escolar_BTV.pdf,2
